1,1,CT 3 D Reconstruction,Details to be soon uploaded,0,0
1,1,CT 3DCT,Details to be soon uploaded,0,0
1,1,CT Abdomen,Details to be soon uploaded,0,0
1,1,CT Abdomen and Pelvis,Details to be soon uploaded,0,0
1,1,CT angiogram-aortici,Details to be soon uploaded,0,0
1,1,CT Ankel Joint Left,Details to be soon uploaded,0,0
1,1,CT Ankel Joint Right,Details to be soon uploaded,0,0
1,1,CT Ankle Joint,Details to be soon uploaded,0,0
1,1,CT Ankle Joint (Plain),Details to be soon uploaded,0,0
1,1,CT Brain,Details to be soon uploaded,0,0
1,1,CT Brain (Plain),Details to be soon uploaded,0,0
1,1,CT BRAIN + CONTRAST,Details to be soon uploaded,0,0
1,1,CT Brain Angiography,Details to be soon uploaded,0,0
1,1,CT Brain With Sella (Plain),Details to be soon uploaded,0,0
1,1,CT CALCIUM SCORING,Details to be soon uploaded,0,0
1,1,CT CARDIAC,Details to be soon uploaded,0,0
1,1,CT Cardiac With Coronary Vessels,Details to be soon uploaded,0,0
1,1,CT Carotid Angiography,Details to be soon uploaded,0,0
1,1,CT CERVICAL SPINE,Details to be soon uploaded,0,0
1,1,CT CERVICO-DORSAL SPINE,Details to be soon uploaded,0,0
1,1,CT Chest,Details to be soon uploaded,0,0
1,1,CT Chest (Plain),Details to be soon uploaded,0,0
1,1,CT Chest / Abdomen and Pelvis (Plain),Details to be soon uploaded,0,0
1,1,CT Chest / Thorax (Plain),Details to be soon uploaded,0,0
1,1,CT Chest with Abdomen (Plain),Details to be soon uploaded,0,0
1,1,CT CRANIOFACIAL,Details to be soon uploaded,0,0
1,1,CT DORSAL SPINE,Details to be soon uploaded,0,0
1,1,CT DORSO-LUMAR SPINE,Details to be soon uploaded,0,0
1,1,CT Elbow,Details to be soon uploaded,0,0
1,1,CT Elbow (Plain),Details to be soon uploaded,0,0
1,1,CT Elbow Left,Details to be soon uploaded,0,0
1,1,CT Elbow Right,Details to be soon uploaded,0,0
1,1,CT Extended Peripheral Angiography,Details to be soon uploaded,0,0
1,1,CT Extremity (Plain),Details to be soon uploaded,0,0
1,1,CT Extremity (Plain+Contrast),Details to be soon uploaded,0,0
1,1,CT FINGER,Details to be soon uploaded,0,0
1,1,CT GUIDED BIOPSY,Details to be soon uploaded,0,0
1,1,CT Hand,Details to be soon uploaded,0,0
1,1,CT Hand (Plain),Details to be soon uploaded,0,0
1,1,CT Hand Left,Details to be soon uploaded,0,0
1,1,CT Hand Right,Details to be soon uploaded,0,0
1,1,CT Hip Joint,Details to be soon uploaded,0,0
1,1,CT Hip Joint (Plain),Details to be soon uploaded,0,0
1,1,CT HIP JOINT LEFT,Details to be soon uploaded,0,0
1,1,CT HIP JOINT RIGHT,Details to be soon uploaded,0,0
1,1,CT HR Chest,Details to be soon uploaded,0,0
1,1,CT HR Chest (Plain),Details to be soon uploaded,0,0
1,1,CT HR Temporal Bone,Details to be soon uploaded,0,0
1,1,CT IAM Cuts Plain,Details to be soon uploaded,0,0
1,1,CT IVP / IVU,Details to be soon uploaded,0,0
1,1,CT Joints,Details to be soon uploaded,0,0
1,1,CT Knee,Details to be soon uploaded,0,0
1,1,CT KNEE (LEFT),Details to be soon uploaded,0,0
1,1,CT KNEE (RIGHT),Details to be soon uploaded,0,0
1,1,CT Leg,Details to be soon uploaded,0,0
1,1,CT Leg (Plain),Details to be soon uploaded,0,0
1,1,CT LEG LEFT,Details to be soon uploaded,0,0
1,1,CT LEG RIGHT,Details to be soon uploaded,0,0
1,1,CT Lower Abdomen and Pelvis,Details to be soon uploaded,0,0
1,1,CT Lumbar Spine,Details to be soon uploaded,0,0
1,1,CT Mandible Bone,Details to be soon uploaded,0,0
1,1,CT MASTDIN,Details to be soon uploaded,0,0
1,1,CT Maxilla Contrast,Details to be soon uploaded,0,0
1,1,CT Maxilla Plain,Details to be soon uploaded,0,0
1,1,CT MAXILLOFACIAL,Details to be soon uploaded,0,0
1,1,CT Myelogram,Details to be soon uploaded,0,0
1,1,CT NASOPHARYNX,Details to be soon uploaded,0,0
1,1,CT Nasopharynx & Base of Skull,Details to be soon uploaded,0,0
1,1,CT Neck,Details to be soon uploaded,0,0
1,1,CT Neck (Plain),Details to be soon uploaded,0,0
1,1,CT NECK + CONTRAST,Details to be soon uploaded,0,0
1,1,CT Orbit,Details to be soon uploaded,0,0
1,1,CT Orbit (Plain),Details to be soon uploaded,0,0
1,1,CT Para Nasal Sinuses (Limited),Details to be soon uploaded,0,0
1,1,CT Pelvimetry,Details to be soon uploaded,0,0
